subset,metric,rmse_best_job,metric_best_job,same_as_rmse_best,rmse_best_metric_value,metric_best_value,metric_reduction_pct,rmse_at_rmse_best,rmse_at_metric_best,rmse_change_pct
FD001,nasa_s_score,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,438.26080128370273,323.4399275007125,26.1992113934603,14.641811743829976,15.025683042613815,2.6217472639313364
FD001,critical_rmse_30,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,4.298576311202883,3.695471521648392,14.030338090839251,14.641811743829976,15.025683042613815,2.6217472639313364
FD001,critical_rmse_50,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,5.404353597936655,5.030089096254616,6.925240824821877,14.641811743829976,15.025683042613815,2.6217472639313364
FD001,overestimation_ratio,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.49,0.3466666666666667,29.2517006802721,14.641811743829976,15.025683042613815,2.6217472639313364
FD001,overestimation_magnitude,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,4.950501268704732,2.950589621861776,40.398164514888016,14.641811743829976,15.025683042613815,2.6217472639313364
FD002,nasa_s_score,critical_w2_h64_l1_w30,asymmetric_w2_h64_l1_w30,False,1634.687854029664,1584.357982419643,3.0788674110444503,18.33856789307415,19.633140066153583,7.059287184406311
FD002,critical_rmse_30,critical_w2_h64_l1_w30,safety_w2_h64_l1_w30,False,5.993699640935293,5.244016001831441,12.507861321306828,18.33856789307415,21.11886862759435,15.160947958047611
FD002,critical_rmse_50,critical_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,9.451298060004149,7.708604043111928,18.438673776112573,18.33856789307415,22.121352978070536,20.62748360205933
FD002,overestimation_ratio,critical_w2_h64_l1_w30,asymmetric_w3_h64_l1_w30,False,0.4015444015444016,0.2561132561132561,36.21794871794873,18.33856789307415,21.96281911123156,19.763000247833787
FD002,overestimation_magnitude,critical_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,5.310405435402575,2.4639972830371044,53.6005807275935,18.33856789307415,22.121352978070536,20.62748360205933
FD003,nasa_s_score,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,261.2842640197477,261.2842640197477,0.0,12.83238923621959,12.83238923621959,0.0
FD003,critical_rmse_30,critical_w3_h64_l1_w30,asymmetric_w2_h64_l1_w30,False,4.086377759872813,3.746784771735568,8.31036698251351,12.83238923621959,13.1230690870127,2.265204440437809
FD003,critical_rmse_50,critical_w3_h64_l1_w30,critical_w2_h64_l1_w30,False,4.996799100921507,4.5182651820920015,9.576809256574965,12.83238923621959,13.072370904291626,1.8701246015409492
FD003,overestimation_ratio,critical_w3_h64_l1_w30,asymmetric_w3_h64_l1_w30,False,0.42,0.3733333333333333,11.111111111111118,12.83238923621959,15.216084387367149,18.57561446483829
FD003,overestimation_magnitude,critical_w3_h64_l1_w30,safety_w3_h64_l1_w30,False,4.581974337895711,3.241063083012899,29.26492284761749,12.83238923621959,14.363105578294793,11.928537343262114
FD004,nasa_s_score,baseline_lr1e-3_h64_l1_w30,safety_w2_h64_l1_w30,False,6344.046838790443,2756.995604535215,56.54200426646181,21.172017013277284,21.42154225810439,1.1785615166973802
FD004,critical_rmse_30,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,14.792212607385636,9.970275871536437,32.59780577681559,21.172017013277284,23.8589769531438,12.691090972492052
FD004,critical_rmse_50,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,18.34658494486766,12.52151014739774,31.750185742875537,21.172017013277284,23.8589769531438,12.691090972492052
FD004,overestimation_ratio,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,0.5295698924731183,0.3561827956989247,32.74111675126904,21.172017013277284,23.8589769531438,12.691090972492052
FD004,overestimation_magnitude,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,8.230906905666474,4.161476214085856,49.44085430949371,21.172017013277284,23.8589769531438,12.691090972492052
