subset,metric,rmse_best,metric_best,same_top1,spearman_vs_rmse
FD001,mae,gradient_boosting,random_forest,False,0.8999999999999998
FD001,nasa_per_engine,gradient_boosting,gradient_boosting,True,0.9999999999999999
FD001,critical_rmse_30,gradient_boosting,gru_safety_mse,False,0.19999999999999998
FD001,critical_rmse_50,gradient_boosting,gru_safety_mse,False,0.49999999999999994
FD001,overestimation_ratio,gradient_boosting,gru_safety_mse,False,-0.6
FD001,overestimation_magnitude,gradient_boosting,gru_safety_mse,False,0.6
FD001,sarbi,gradient_boosting,gradient_boosting,True,0.8999999999999998
FD002,mae,gru,gru,True,0.8999999999999998
FD002,nasa_per_engine,gru,gru,True,0.19999999999999998
FD002,critical_rmse_30,gru,gru_safety_mse,False,0.39999999999999997
FD002,critical_rmse_50,gru,gru_safety_mse,False,0.39999999999999997
FD002,overestimation_ratio,gru,gru_safety_mse,False,0.39999999999999997
FD002,overestimation_magnitude,gru,gru_safety_mse,False,0.39999999999999997
FD002,sarbi,gru,gru_safety_mse,False,0.39999999999999997
FD003,mae,gradient_boosting,gradient_boosting,True,0.9999999999999999
FD003,nasa_per_engine,gradient_boosting,gradient_boosting,True,0.8999999999999998
FD003,critical_rmse_30,gradient_boosting,random_forest,False,0.8999999999999998
FD003,critical_rmse_50,gradient_boosting,random_forest,False,0.8999999999999998
FD003,overestimation_ratio,gradient_boosting,gru_safety_mse,False,0.09999999999999999
FD003,overestimation_magnitude,gradient_boosting,gru_safety_mse,False,0.39999999999999997
FD003,sarbi,gradient_boosting,random_forest,False,0.8999999999999998
FD004,mae,random_forest,random_forest,True,0.8999999999999998
FD004,nasa_per_engine,random_forest,gradient_boosting,False,0.19999999999999998
FD004,critical_rmse_30,random_forest,gru_safety_mse,False,0.3
FD004,critical_rmse_50,random_forest,gru_safety_mse,False,0.3
FD004,overestimation_ratio,random_forest,gru_safety_mse,False,0.48112522432468807
FD004,overestimation_magnitude,random_forest,gru_safety_mse,False,0.3
FD004,sarbi,random_forest,gru_safety_mse,False,0.3
