subset,metric,rmse_best,metric_best,same_as_rmse_best,rmse_best_metric_value,metric_best_value,rmse_at_rmse_best,rmse_at_metric_best,rmse_change_pct
FD001,rmse,gradient_boosting,gradient_boosting,True,12.81370316322021,12.81370316322021,12.81370316322021,12.81370316322021,0.0
FD001,mae,gradient_boosting,random_forest,False,9.829174018054887,9.623472574185074,12.81370316322021,13.010306741015947,1.5343228674132139
FD001,nasa_per_engine,gradient_boosting,gradient_boosting,True,2.4745544904319807,2.4745544904319807,12.81370316322021,12.81370316322021,0.0
FD001,critical_rmse_30,gradient_boosting,gru_safety_mse,False,5.1932893717269835,3.7518961094170016,12.81370316322021,14.964994790034952,16.78899221725144
FD001,critical_rmse_50,gradient_boosting,gru_safety_mse,False,5.60478798777412,4.863028563746762,12.81370316322021,14.964994790034952,16.78899221725144
FD001,overestimation_ratio,gradient_boosting,gru_safety_mse,False,0.6066666666666666,0.4666666666666666,12.81370316322021,14.964994790034952,16.78899221725144
FD001,overestimation_magnitude,gradient_boosting,gru_safety_mse,False,6.008563772728652,4.792730941666666,12.81370316322021,14.964994790034952,16.78899221725144
FD001,sarbi,gradient_boosting,gradient_boosting,True,0.8938776374280021,0.8938776374280021,12.81370316322021,12.81370316322021,0.0
FD002,rmse,gru,gru,True,17.81181054630617,17.81181054630617,17.81181054630617,17.81181054630617,0.0
FD002,mae,gru,gru,True,13.148470331496407,13.148470331496407,17.81181054630617,17.81181054630617,0.0
FD002,nasa_per_engine,gru,gru,True,5.894365121781912,5.894365121781912,17.81181054630617,17.81181054630617,0.0
FD002,critical_rmse_30,gru,gru_safety_mse,False,6.885271919466888,5.053460522993327,17.81181054630617,20.348553701997258,14.241916334648867
FD002,critical_rmse_50,gru,gru_safety_mse,False,10.121056214342003,8.123940397647951,17.81181054630617,20.348553701997258,14.241916334648867
FD002,overestimation_ratio,gru,gru_safety_mse,False,0.48648648648648646,0.30759330759330755,17.81181054630617,20.348553701997258,14.241916334648867
FD002,overestimation_magnitude,gru,gru_safety_mse,False,6.309287409371237,3.4096161352621537,17.81181054630617,20.348553701997258,14.241916334648867
FD002,sarbi,gru,gru_safety_mse,False,0.7143171554571448,0.6448300405906247,17.81181054630617,20.348553701997258,14.241916334648867
FD003,rmse,gradient_boosting,gradient_boosting,True,13.208707858844647,13.208707858844647,13.208707858844647,13.208707858844647,0.0
FD003,mae,gradient_boosting,gradient_boosting,True,9.665715598304857,9.665715598304857,13.208707858844647,13.208707858844647,0.0
FD003,nasa_per_engine,gradient_boosting,gradient_boosting,True,3.1184973003426375,3.1184973003426375,13.208707858844647,13.208707858844647,0.0
FD003,critical_rmse_30,gradient_boosting,random_forest,False,4.093879363508589,3.5912163909188606,13.208707858844647,13.984279126470726,5.8716664484842145
FD003,critical_rmse_50,gradient_boosting,random_forest,False,5.5330760195497115,4.761971324153413,13.208707858844647,13.984279126470726,5.8716664484842145
FD003,overestimation_ratio,gradient_boosting,gru_safety_mse,False,0.5733333333333334,0.43,13.208707858844647,15.989394027891764,21.051916650462893
FD003,overestimation_magnitude,gradient_boosting,gru_safety_mse,False,6.1977796200755995,4.842070613,13.208707858844647,15.989394027891764,21.051916650462893
FD003,sarbi,gradient_boosting,random_forest,False,0.9400608566866314,0.929976524219508,13.208707858844647,13.984279126470726,5.8716664484842145
FD004,rmse,random_forest,random_forest,True,20.182965517576413,20.182965517576413,20.182965517576413,20.182965517576413,0.0
FD004,mae,random_forest,random_forest,True,15.065328309795044,15.065328309795044,20.182965517576413,20.182965517576413,0.0
FD004,nasa_per_engine,random_forest,gradient_boosting,False,12.248599750346457,11.510566934232875,20.182965517576413,21.196632953870246,5.022390963365006
FD004,critical_rmse_30,random_forest,gru_safety_mse,False,15.006197697546503,11.189881971971815,20.182965517576413,21.93080248259379,8.65996111173686
FD004,critical_rmse_50,random_forest,gru_safety_mse,False,16.99495442022658,14.6199309756471,20.182965517576413,21.93080248259379,8.65996111173686
FD004,overestimation_ratio,random_forest,gru_safety_mse,False,0.521505376344086,0.39381720430107525,20.182965517576413,21.93080248259379,8.65996111173686
FD004,overestimation_magnitude,random_forest,gru_safety_mse,False,8.515073824609779,5.509153607071087,20.182965517576413,21.93080248259379,8.65996111173686
FD004,sarbi,random_forest,gru_safety_mse,False,0.9031037856919543,0.8179550915679513,20.182965517576413,21.93080248259379,8.65996111173686
