cost_scenario,subset,lead_time,policy,rmse_best_model,rmse_best_rmse,decision_best_model,decision_best_expected_cost,same_model
balanced_low,FD001,10.0,mean,gradient_boosting,12.81370316322021,ridge,1.9166666666666667,False
balanced_low,FD001,20.0,mean,gradient_boosting,12.81370316322021,tcn,1.2892000000000001,False
balanced_low,FD001,30.0,mean,gradient_boosting,12.81370316322021,gradient_boosting,0.6305333333333333,True
balanced_low,FD001,50.0,mean,gradient_boosting,12.81370316322021,gru_safety_mse,0.4146666666666667,False
balanced_low,FD002,10.0,mean,tcn,16.760625770170805,gru_safety_mse,1.6436293436293437,False
balanced_low,FD002,20.0,mean,tcn,16.760625770170805,gru_safety_mse,0.7620849420849422,False
balanced_low,FD002,30.0,mean,tcn,16.760625770170805,gru_safety_mse,0.3673101673101673,False
balanced_low,FD002,50.0,mean,tcn,16.760625770170805,gru_safety_mse,0.47788931788931793,False
balanced_low,FD003,10.0,mean,gradient_boosting,13.208707858844647,tcn,1.2156,False
balanced_low,FD003,20.0,mean,gradient_boosting,13.208707858844647,tcn,0.7829999999999999,False
balanced_low,FD003,30.0,mean,gradient_boosting,13.208707858844647,gru_safety_mse,0.4044666666666667,False
balanced_low,FD003,50.0,mean,gradient_boosting,13.208707858844647,lstm,0.3149333333333333,False
balanced_low,FD004,10.0,mean,tcn,19.279861410159125,ridge,1.9148118279569892,False
balanced_low,FD004,20.0,mean,tcn,19.279861410159125,gru_safety_mse,1.1176612903225804,False
balanced_low,FD004,30.0,mean,tcn,19.279861410159125,gru_safety_mse,0.6861290322580644,False
balanced_low,FD004,50.0,mean,tcn,19.279861410159125,tcn,0.5281720430107527,True
baseline,FD001,10.0,mean,gradient_boosting,12.81370316322021,ridge,3.766666666666667,False
baseline,FD001,20.0,mean,gradient_boosting,12.81370316322021,tcn,2.4225333333333334,False
baseline,FD001,30.0,mean,gradient_boosting,12.81370316322021,gradient_boosting,1.0305333333333333,True
baseline,FD001,50.0,mean,gradient_boosting,12.81370316322021,gru_safety_mse,0.48133333333333334,False
baseline,FD002,10.0,mean,tcn,16.760625770170805,gru_safety_mse,3.1944658944658944,False
baseline,FD002,20.0,mean,tcn,16.760625770170805,gru_safety_mse,1.3283655083655084,False
baseline,FD002,30.0,mean,tcn,16.760625770170805,gru_safety_mse,0.4831402831402831,False
baseline,FD002,50.0,mean,tcn,16.760625770170805,gru_safety_mse,0.5679794079794079,False
baseline,FD003,10.0,mean,gradient_boosting,13.208707858844647,tcn,2.3322666666666665,False
baseline,FD003,20.0,mean,gradient_boosting,13.208707858844647,tcn,1.4163333333333332,False
baseline,FD003,30.0,mean,gradient_boosting,13.208707858844647,gru_safety_mse,0.6044666666666667,False
baseline,FD003,50.0,mean,gradient_boosting,13.208707858844647,lstm,0.33159999999999995,False
baseline,FD004,10.0,mean,tcn,19.279861410159125,ridge,3.7830913978494625,False
baseline,FD004,20.0,mean,tcn,19.279861410159125,gru_safety_mse,2.0854032258064517,False
baseline,FD004,30.0,mean,tcn,19.279861410159125,gru_safety_mse,1.1498387096774192,False
baseline,FD004,50.0,mean,tcn,19.279861410159125,tcn,0.736505376344086,True
early_penalty,FD001,10.0,mean,gradient_boosting,12.81370316322021,ridge,3.766666666666667,False
early_penalty,FD001,20.0,mean,gradient_boosting,12.81370316322021,tcn,2.4263333333333335,False
early_penalty,FD001,30.0,mean,gradient_boosting,12.81370316322021,gradient_boosting,1.0313333333333334,True
early_penalty,FD001,50.0,mean,gradient_boosting,12.81370316322021,gru_safety_mse,0.49333333333333335,False
early_penalty,FD002,10.0,mean,tcn,16.760625770170805,gru_safety_mse,3.196589446589446,False
early_penalty,FD002,20.0,mean,tcn,16.760625770170805,gru_safety_mse,1.3305662805662806,False
early_penalty,FD002,30.0,mean,tcn,16.760625770170805,gru_safety_mse,0.4877734877734878,False
early_penalty,FD002,50.0,mean,tcn,16.760625770170805,gru_safety_mse,0.5898326898326899,False
early_penalty,FD003,10.0,mean,gradient_boosting,13.208707858844647,tcn,2.340666666666667,False
early_penalty,FD003,20.0,mean,gradient_boosting,13.208707858844647,tcn,1.4208333333333332,False
early_penalty,FD003,30.0,mean,gradient_boosting,13.208707858844647,gru_safety_mse,0.6061666666666666,False
early_penalty,FD003,50.0,mean,gradient_boosting,13.208707858844647,lstm,0.334,False
early_penalty,FD004,10.0,mean,tcn,19.279861410159125,ridge,3.7863575268817207,False
early_penalty,FD004,20.0,mean,tcn,19.279861410159125,gru_safety_mse,2.090524193548387,False
early_penalty,FD004,30.0,mean,tcn,19.279861410159125,gru_safety_mse,1.1608870967741935,False
early_penalty,FD004,50.0,mean,tcn,19.279861410159125,tcn,0.7485215053763441,True
high_late,FD001,10.0,mean,gradient_boosting,12.81370316322021,ridge,3.7999999999999994,False
high_late,FD001,20.0,mean,gradient_boosting,12.81370316322021,tcn,2.6225333333333336,False
high_late,FD001,30.0,mean,gradient_boosting,12.81370316322021,gradient_boosting,1.2972,True
high_late,FD001,50.0,mean,gradient_boosting,12.81370316322021,gru_safety_mse,0.6146666666666666,False
high_late,FD002,10.0,mean,tcn,16.760625770170805,gru_safety_mse,3.413256113256113,False
high_late,FD002,20.0,mean,tcn,16.760625770170805,gru_safety_mse,1.56002574002574,False
high_late,FD002,30.0,mean,tcn,16.760625770170805,gru_safety_mse,0.5603603603603603,False
high_late,FD002,50.0,mean,tcn,16.760625770170805,gru_safety_mse,0.7481595881595883,False
high_late,FD003,10.0,mean,gradient_boosting,13.208707858844647,tcn,2.3656,False
high_late,FD003,20.0,mean,gradient_boosting,13.208707858844647,tcn,1.5496666666666667,False
high_late,FD003,30.0,mean,gradient_boosting,13.208707858844647,gru_safety_mse,0.7378,False
high_late,FD003,50.0,mean,gradient_boosting,13.208707858844647,lstm,0.36493333333333333,False
high_late,FD004,10.0,mean,tcn,19.279861410159125,ridge,4.1325537634408605,False
high_late,FD004,20.0,mean,tcn,19.279861410159125,gru_safety_mse,2.4886290322580646,False
high_late,FD004,30.0,mean,tcn,19.279861410159125,gru_safety_mse,1.458978494623656,False
high_late,FD004,50.0,mean,tcn,19.279861410159125,tcn,1.07252688172043,True
high_missed,FD001,10.0,mean,gradient_boosting,12.81370316322021,ridge,7.433333333333333,False
high_missed,FD001,20.0,mean,gradient_boosting,12.81370316322021,gru,4.454933333333333,False
high_missed,FD001,30.0,mean,gradient_boosting,12.81370316322021,gradient_boosting,1.5638666666666665,True
high_missed,FD001,50.0,mean,gradient_boosting,12.81370316322021,gru_safety_mse,0.48133333333333334,False
high_missed,FD002,10.0,mean,tcn,16.760625770170805,gru_safety_mse,6.077348777348778,False
high_missed,FD002,20.0,mean,tcn,16.760625770170805,gru_safety_mse,2.2292664092664096,False
high_missed,FD002,30.0,mean,tcn,16.760625770170805,gru_safety_mse,0.6375804375804376,False
high_missed,FD002,50.0,mean,tcn,16.760625770170805,gru_safety_mse,0.5679794079794079,False
high_missed,FD003,10.0,mean,gradient_boosting,13.208707858844647,tcn,4.532266666666667,False
high_missed,FD003,20.0,mean,gradient_boosting,13.208707858844647,tcn,2.549666666666667,False
high_missed,FD003,30.0,mean,gradient_boosting,13.208707858844647,gru_safety_mse,0.8711333333333333,False
high_missed,FD003,50.0,mean,gradient_boosting,13.208707858844647,lstm,0.33159999999999995,False
high_missed,FD004,10.0,mean,tcn,19.279861410159125,ridge,7.170188172043011,False
high_missed,FD004,20.0,mean,tcn,19.279861410159125,gru_safety_mse,3.6176612903225807,False
high_missed,FD004,30.0,mean,tcn,19.279861410159125,gru_safety_mse,1.7681182795698926,False
high_missed,FD004,50.0,mean,tcn,19.279861410159125,tcn,0.8171505376344085,True
