subset,metric,paper1_matrix_best,paper1_matrix_best_value,paper1_deep_ablation_best,paper1_deep_ablation_best_value,paper2_best_job,paper2_best_label,paper2_best_value,paper2_safety_w2_value,paper2_best_minus_matrix_pct,paper2_best_minus_deep_ablation_pct,paper2_safety_minus_matrix_pct,paper2_safety_minus_deep_ablation_pct
FD001,rmse,Gradient Boosting,12.81370316322021,Asymmetric w2,14.641811743829976,dual_cycle_h64_l1_w30,Dual-LSTM cycle,14.856520763636292,14.880539467630234,15.942445165107932,1.4664101926921276,16.12989061852599,1.6304520777687033
FD001,mae,Random Forest,9.623472574185074,Asymmetric w2,10.357998168468477,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,10.65529366016388,10.65529366016388,10.72192057518469,2.8702022037464845,10.72192057518469,2.8702022037464845
FD001,critical_rmse_50,Safety-GRU,4.863028563746762,Safety w3,5.030089096254616,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,5.394459197648961,5.394459197648961,10.927976813953839,7.243810088088759,10.927976813953839,7.243810088088759
FD001,overestimation_ratio,Safety-GRU,0.4666666666666666,Safety w3,0.3466666666666667,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,0.4866666666666666,0.4866666666666666,4.2857142857142785,40.38461538461536,4.2857142857142785,40.38461538461536
FD001,overestimation_magnitude,Safety-GRU,4.792730941666666,Safety w3,2.950589621861776,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,4.225973490079244,4.225973490079244,-11.825355073872212,43.224712063235685,-11.825355073872212,43.224712063235685
FD002,rmse,GRU,17.81181054630617,Critical w2,18.33856789307415,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,17.948433442379542,20.320798761161868,0.7670354213469099,-2.127398676763343,14.086093091620125,10.809082146683545
FD002,mae,GRU,13.148470331496409,Critical w2,13.84112859999658,dual_no_cycle_h64_l1_w30,Dual-LSTM no-cycle,13.35349543920048,15.349034150901756,1.5593076801713173,-3.523073694989158,16.736272463071412,10.89438292557696
FD002,critical_rmse_50,Safety-GRU,8.123940397647951,Safety w3,7.708604043111928,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,8.823402161467683,8.823402161467683,8.60988300729337,14.461737976435446,8.60988300729337,14.461737976435446
FD002,overestimation_ratio,Safety-GRU,0.3075933075933075,Asymmetric w3,0.2561132561132561,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,0.3474903474903474,0.3474903474903474,12.970711297071139,35.67839195979898,12.970711297071139,35.67839195979898
FD002,overestimation_magnitude,Safety-GRU,3.4096161352621537,Safety w3,2.4639972830371044,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,3.831595672450317,3.831595672450317,12.37615967451769,55.50324258992367,12.37615967451769,55.50324258992367
FD003,rmse,Gradient Boosting,13.208707858844647,Critical w3,12.83238923621959,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,14.373488430366884,14.373488430366884,8.818277941867649,12.009448636404512,8.818277941867649,12.009448636404512
FD003,mae,Gradient Boosting,9.665715598304857,Critical w3,9.505513846079507,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,10.00353688319524,10.00353688319524,3.4950468121535594,5.239306840009909,3.4950468121535594,5.239306840009909
FD003,critical_rmse_50,Random Forest,4.761971324153413,Critical w2,4.5182651820920015,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,4.332481615826178,4.332481615826178,-9.019157804432815,-4.111834050869137,-9.019157804432815,-4.111834050869137
FD003,overestimation_ratio,Safety-GRU,0.43,Asymmetric w3,0.3733333333333333,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,0.4266666666666667,0.4266666666666667,-0.7751937984496045,14.285714285714304,-0.7751937984496045,14.285714285714304
FD003,overestimation_magnitude,Safety-GRU,4.842070613,Safety w3,3.241063083012899,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,4.651013118426005,4.651013118426005,-3.945780841383093,43.502702641085705,-3.945780841383093,43.502702641085705
FD004,rmse,Random Forest,20.182965517576413,Baseline GRU,21.172017013277284,dual_cycle_h64_l1_w30,Dual-LSTM cycle,22.31934655671697,22.38463806366109,10.585070054646232,5.4190847415254675,10.908568139639051,5.727470602462455
FD004,mae,Random Forest,15.065328309795044,Baseline GRU,15.677431615129594,dual_cycle_h64_l1_w30,Dual-LSTM cycle,16.54492509749628,16.570549630349685,9.821205069518754,5.5333903133055635,9.991294511490928,5.696838851831972
FD004,critical_rmse_50,Safety-GRU,14.6199309756471,Safety w3,12.52151014739774,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,15.107342935803226,15.107342935803226,3.3338868765387817,20.6511256067854,3.3338868765387817,20.6511256067854
FD004,overestimation_ratio,Safety-GRU,0.3938172043010752,Safety w3,0.3561827956989247,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,0.4448924731182795,0.4448924731182795,12.969283276450517,24.905660377358487,12.969283276450517,24.905660377358487
FD004,overestimation_magnitude,Safety-GRU,5.509153607071087,Safety w3,4.161476214085856,dual_cycle_safety_w2_h64_l1_w30,Dual-LSTM cycle safety-w2,5.963591871082142,5.963591871082142,8.248785501783352,43.30472083191164,8.248785501783352,43.30472083191164
